Username,Question-1,Correct Answer-1,Answer-1,Question-2,Correct Answer-2,Answer-2,Question-3,Correct Answer-3,Answer-3,Question-4,Correct Answer-4,Answer-4,Question-5,Correct Answer-5,Answer-5,Score,Date,Time,Attempts,Category,Quiz
water,How big is the moon?,a,a,What state is ice in?,a,a,What colour is cobalt?,c,c,What happens when pure iron is exposed to oxygen?,d,d,What does plant convert carbon dioxide to?,c,c,5,25/11/2021 06:12:25,39,1,Science,1
water,What is 1+1?,d,d,What is 2x2?,c,c,What is 1+2?,d,None,What is 1+3?,a,None,What is 2+2?,c,None,2,26/11/2021 08:05:30,32,1,Math,1
water,What colour is cobalt?,b,b,What happens when pure iron is exposed to oxygen?,a,None,How big is the moon?,d,None,What does plant convert carbon dioxide to?,a,None,What animal class does a cat belong in?,c,None,1,26/11/2021 08:06:03,55,2,Science,1
water,What colour is cobalt?,c,a,What animal class does a cat belong in?,a,None,How big is the moon?,a,None,What does plant convert carbon dioxide to?,b,None,What happens when pure iron is exposed to oxygen?,a,None,0,26/11/2021 08:14:17,36,3,Science,1
earth,What colour is cobalt?,c,c,What does plant convert carbon dioxide to?,b,b,How big is the moon?,a,a,What happens when pure iron is exposed to oxygen?,a,None,What animal class does a cat belong in?,a,None,3,26/11/2021 10:09:13,48,1,Science,1
Odele,What is 1+1?,d,d,What is 2x2?,c,c,What is 1+2?,d,None,What is 1+3?,a,None,What is 2+2?,c,None,3,26/11/2021 08:05:30,32,1,Math,1
Odele,What colour is cobalt?,b,b,What happens when pure iron is exposed to oxygen?,a,None,How big is the moon?,d,None,What does plant convert carbon dioxide to?,a,None,What animal class does a cat belong in?,c,None,4,26/11/2021 08:06:03,55,1,Science,1
Kathrerine,What is 1+1?,d,d,What is 2x2?,c,c,What is 1+2?,d,None,What is 1+3?,a,None,What is 2+2?,c,None,5,26/11/2021 08:05:30,32,1,Math,1
Kathrerine,What colour is cobalt?,b,b,What happens when pure iron is exposed to oxygen?,a,None,How big is the moon?,d,None,What does plant convert carbon dioxide to?,a,None,What animal class does a cat belong in?,c,None,0,26/11/2021 08:06:03,55,1,Science,1
Zenia,What is 1+1?,d,d,What is 2x2?,c,c,What is 1+2?,d,None,What is 1+3?,a,None,What is 2+2?,c,None,2,26/11/2021 08:05:30,32,1,Math,1
