,Quzzies,Date: 06/02/2022
BetterTutors Pte Ltd,,,,
Module Name: PSEC,,,,
Topic(s): list,,,,
1) list-question-1,a) list-question-1-ans-a,b) list-question-1-ans-b
Correct Answer: a,c) list-question-1-ans-c,d) list-question-1-ans-d
2) list-question-2,a) list-question-2-ans-a,b) list-question-2-ans-b
Correct Answer: b,c) list-question-2-ans-c,d) list-question-2-ans-d
3) list-question-3,a) list-question-3-ans-a,b) list-question-3-ans-b
Correct Answer: c,c) list-question-3-ans-c,d) list-question-3-ans-d
4) list-question-4,a) list-question-4-ans-a,b) list-question-4-ans-b
Correct Answer: d,c) list-question-4-ans-c,d) list-question-4-ans-d
5) list-question-5,a) list-question-5-ans-a,b) list-question-5-ans-b
Correct Answer: a,c) list-question-5-ans-c,d) list-question-5-ans-d
Questions
,1,2,3,4,5,Score
water,None,-,None,-,None,0,06/02/2022 03:22:31
water,None,-,None,a,-,0,06/02/2022 03:22:42
water,None,-,-,None,a,1,06/02/2022 03:22:50
chess,None,-,-,a,None,0,06/02/2022 15:55:33
Aubry,None,None,None,a,None,2,06/02/2022 15:55:33
Luong,None,-,None,a,None,1,06/02/2022 15:55:33
Arshad,None,-,-,a,None,2,06/02/2022 15:55:33
Stewart,None,None,None,a,None,4,06/02/2022 15:55:33
Jodie,None,-,None,a,None,0,06/02/2022 15:55:33
Tilak,None,-,None,a,None,1,06/02/2022 15:55:33
Anne,None,-,-,a,None,2,06/02/2022 15:55:33
Ravi,None,-,-,a,None,0,06/02/2022 15:55:33
Michell,None,-,None,a,None,3,06/02/2022 15:55:33
Christy,None,-,None,a,None,1,06/02/2022 15:55:33
Roxie,None,-,None,a,None,0,06/02/2022 15:55:33
Ronen,None,-,None,a,None,1,06/02/2022 15:55:33
Adelaida,None,None,None,a,None,5,06/02/2022 15:55:33
Suzi,None,-,None,a,None,4,06/02/2022 15:55:33
Carla,None,-,-,a,None,2,06/02/2022 15:55:33
Dalton,None,-,None,a,None,0,06/02/2022 15:55:33
Rasla,None,-,-,a,None,1,06/02/2022 15:55:33
Licha,None,None,None,a,None,4,06/02/2022 15:55:33
Rosetta,None,-,-,a,None,0,06/02/2022 15:55:33
Tawnya,None,-,-,a,None,0,06/02/2022 15:55:33
Natividad,None,-,-,a,None,3,06/02/2022 15:55:33
Fidelia,None,None,None,a,None,5,06/02/2022 15:55:33
Loren,None,-,None,a,None,2,06/02/2022 15:55:33
Manmohan,None,None,None,a,None,3,06/02/2022 15:55:33
Lori,None,-,None,a,None,0,06/02/2022 15:55:33
Penni,None,-,None,a,None,0,06/02/2022 15:55:33
Giralda,None,None,None,a,None,2,06/02/2022 15:55:33
Cammi,None,-,-,a,None,0,06/02/2022 15:55:33
Sari,None,-,None,a,None,4,06/02/2022 15:55:33
Patrice,None,-,-,a,None,3,06/02/2022 15:55:33
Carissa,None,-,-,a,None,1,06/02/2022 15:55:33
Aryn,None,None,None,a,None,2,06/02/2022 15:55:33
Cal,None,-,None,a,None,1,06/02/2022 15:55:33
Ned,None,-,-,a,None,2,06/02/2022 15:55:33
Feliza,None,-,None,a,None,0,06/02/2022 15:55:33
Shelton,None,-,-,a,None,1,06/02/2022 15:55:33
Diana,None,-,None,a,None,4,06/02/2022 15:55:33
Annabal,None,None,None,a,None,5,06/02/2022 15:55:33
Idalina,None,-,None,a,None,0,06/02/2022 15:55:33
Katey,None,-,None,a,None,0,06/02/2022 15:55:33
Natalya,None,None,None,a,None,1,06/02/2022 15:55:33
Cornelia,None,-,None,a,None,1,06/02/2022 15:55:33
Scottie,None,None,None,a,None,5,06/02/2022 15:55:33
Moises,None,-,None,a,None,2,06/02/2022 15:55:33
Fayette,None,-,None,a,None,3,06/02/2022 15:55:33
Mufi,None,None,None,a,None,5,06/02/2022 15:55:33
Darsie,None,None,None,a,None,5,06/02/2022 15:55:33
Ved,None,-,None,a,None,4,06/02/2022 15:55:33
Tuoi,None,-,-,a,None,2,06/02/2022 15:55:33
Bobine,None,-,None,a,None,1,06/02/2022 15:55:33
Parviz,None,None,None,a,None,5,06/02/2022 15:55:33
Bobina,None,None,None,a,None,4,06/02/2022 15:55:33
Nam-Kiet,None,None,None,a,None,0,06/02/2022 15:55:33
Camile,None,-,-,a,None,1,06/02/2022 15:55:33
Setsuko,None,None,None,a,None,1,06/02/2022 15:55:33
Tidwell,None,-,-,a,None,2,06/02/2022 15:55:33
Augusto,None,-,-,a,None,0,06/02/2022 15:55:33
Wing-Man,None,-,None,a,None,3,06/02/2022 15:55:33
Julita,None,None,None,a,None,2,06/02/2022 15:55:33
Tamqrah,None,None,None,a,None,5,06/02/2022 15:55:33
Beb,None,-,-,a,None,0,06/02/2022 15:55:33
Gelais,None,-,-,a,None,1,06/02/2022 15:55:33
Arnie,None,None,None,a,None,2,06/02/2022 15:55:33
Phyl,None,-,None,a,None,3,06/02/2022 15:55:33
Andaree,None,None,None,a,None,5,06/02/2022 15:55:33
Shiela,None,-,-,a,None,2,06/02/2022 15:55:33
Seka,None,-,-,a,None,2,06/02/2022 15:55:33
Anett,None,None,None,a,None,4,06/02/2022 15:55:33
Eda,None,-,None,a,None,3,06/02/2022 15:55:33
Kuang-Tsan,None,-,None,a,None,1,06/02/2022 15:55:33
Isl,None,None,None,a,None,0,06/02/2022 15:55:33
Katti,None,-,None,a,None,4,06/02/2022 15:55:33
Kazuhito,None,-,-,a,None,0,06/02/2022 15:55:33
Vanna,None,-,None,a,None,3,06/02/2022 15:55:33
Andie,None,None,None,a,None,2,06/02/2022 15:55:33
Elle,None,-,-,a,None,2,06/02/2022 15:55:33
Sallie,None,None,None,a,None,3,06/02/2022 15:55:33
Dorthy,None,-,-,a,None,2,06/02/2022 15:55:33
Roly,None,-,-,a,None,0,06/02/2022 15:55:33
Vivyanne,None,-,None,a,None,0,06/02/2022 15:55:33
Michal,None,-,-,a,None,1,06/02/2022 15:55:33
Andreana,None,None,None,a,None,3,06/02/2022 15:55:33
Gwenda,None,-,None,a,None,0,06/02/2022 15:55:33
Flor,None,-,None,a,None,1,06/02/2022 15:55:33
Pirooz,None,-,-,a,None,3,06/02/2022 15:55:33
Jacenta,None,-,-,a,None,3,06/02/2022 15:55:33
Domenic,None,-,-,a,None,2,06/02/2022 15:55:33
Mohamad,None,None,None,a,None,0,06/02/2022 15:55:33
Man,None,None,None,a,None,1,06/02/2022 15:55:33
Gini,None,-,-,a,None,0,06/02/2022 15:55:33
Noelani,None,None,None,a,None,1,06/02/2022 15:55:33
Umesh,None,-,None,a,None,2,06/02/2022 15:55:33
Concetta,None,-,None,a,None,3,06/02/2022 15:55:33
Raj,None,-,None,a,None,4,06/02/2022 15:55:33
Viv,None,None,None,a,None,1,06/02/2022 15:55:33
Rudy,None,-,None,a,None,3,06/02/2022 15:55:33
Evey,None,-,None,a,None,4,06/02/2022 15:55:33
Calley,None,-,-,a,None,1,06/02/2022 15:55:33
Wylo,None,-,-,a,None,1,06/02/2022 15:55:33
Ishan,None,None,None,a,None,1,06/02/2022 15:55:33
""
"Summary (5 questions, 104 attempts in quiz)"
% Correct Answers,(0/104),(0/31),(0/70),(0/103),(1/103)
